screen	kind	x	y	w	h	font	color	fill	just	thick	state	text
SERIAL DECODE - 240B FRAME	text	268	320	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	320	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	344	0	0	1	11579568	-1	0	1	enable	FRAME TEXT pg 1/1 bytes 1-97/97 win 192 [done]
SERIAL DECODE - 240B FRAME	text	478	344	0	0	1	11579568	-1	0	1	enable	log: NOT LOGGING
SERIAL DECODE - 240B FRAME	text	675	344	0	0	1	4259648	-1	0	1	enable	TRIG IN?
SERIAL DECODE - 240B FRAME	button	645	160	140	0	1	16777215	-1	0	1	enable	Lock Rate
SERIAL DECODE - 240B FRAME	text	684	51	0	0	1	11053224	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	744	51	0	0	1	16777215	-1	2	1	enable	
SERIAL DECODE - 240B FRAME	text	750	51	0	0	1	11053224	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	788	51	0	0	1	16777215	-1	2	1	enable	
SERIAL DECODE - 240B FRAME	button	8	362	120	0	1	16777215	-1	0	1	enable	Capture
SERIAL DECODE - 240B FRAME	button	152	362	90	0	1	16777215	-1	0	1	enable	View
SERIAL DECODE - 240B FRAME	button	266	362	100	0	1	16777215	-1	0	1	enable	Mode
SERIAL DECODE - 240B FRAME	button	390	362	112	0	1	16777215	-1	0	1	enable	NewLog
SERIAL DECODE - 240B FRAME	button	526	362	112	0	1	16777215	-1	0	1	enable	Save
SERIAL DECODE - 240B FRAME	button	662	362	112	0	1	16777215	-1	0	1	enable	Options
SERIAL DECODE OPTIONS	editopt	270	6	0	0	1	16777215	-1	0	1	enable	Protocol	sets the wire parameters	UART
SERIAL DECODE OPTIONS	editnum	270	56	0	0	1	16777215	-1	0	1	enable	Baud Rate	0 = auto-detect	9600 Bd
SERIAL DECODE OPTIONS	editopt	270	106	0	0	1	16777215	-1	0	1	enable	Data Bits	auto, or fix it	8
SERIAL DECODE OPTIONS	editopt	270	156	0	0	1	16777215	-1	0	1	enable	Parity	auto or fixed	None
SERIAL DECODE OPTIONS	editopt	270	206	0	0	1	16777215	-1	0	1	enable	Polarity	idle level	Auto
SERIAL DECODE OPTIONS	editopt	270	256	0	0	1	16777215	-1	0	1	enable	Trigger	capture start	Free run
SERIAL DECODE OPTIONS	editopt	270	306	0	0	1	16777215	-1	0	1	enable	Rear BNC	trig in / flow-control out	Off
SERIAL DECODE OPTIONS	button	22	360	200	0	1	16777215	-1	0	1	enable	Auto Detect
SERIAL DECODE OPTIONS	button	234	360	220	0	1	16777215	-1	0	1	enable	Lock Detected
SERIAL DECODE OPTIONS	button	466	360	150	0	1	16777215	-1	0	1	enable	Apply
SERIAL DECODE OPTIONS	button	628	360	150	0	1	16777215	-1	0	1	enable	Cancel
